track,frame_idx,instance.score,LeftPecBase.x,LeftPecBase.y,LeftPecBase.score,LeftPecTip.x,LeftPecTip.y,LeftPecTip.score,RightPecBase.x,RightPecBase.y,RightPecBase.score,RightPecTip.x,RightPecTip.y,RightPecTip.score
,39,,613.1377421186908,465.7352745563107,,682.48004623528,407.92130297070855,,589.3180894992164,512.7491717096493,,,,
,58,,591.2400205069328,467.63942426168086,,,,,566.9443304611157,506.56068516719597,,568.2234856558498,589.4851724837351,
,80,,579.3390848483687,458.5947131611721,,631.5440416166253,388.4037684906633,,546.4747211283852,501.3242734774277,,,,
,88,,593.1441702123032,461.45093771922745,,,,,553.1392450971812,497.51597406668714,,500.15013368886264,550.9261409499873,
,111,,616.3365958739839,453.42279037479955,,695.3232121862475,398.2159485782975,,577.6696953162666,470.755482918594,,521.5585266073372,465.7385774618906,
,136,,671.3736370879739,461.4120382929594,,,,,631.3751952105631,435.6915615000037,,569.4940141162961,391.1722635590655,
,145,,692.6782982030668,459.1928027601372,,770.3333731956371,523.8246797360325,,659.7814100306871,427.7023135818439,,,,
,163,,727.9263187905538,470.8246495540079,,,,,697.8492722651729,430.52215522884285,,639.9900552912698,372.8432928535723,
,186,,787.6773573344593,473.8500185942057,,766.1734907653653,565.0453329087269,,771.2144714899683,427.11861505862043,,,,
,191,,799.4006623652256,475.36270311430457,,,,,788.2321723410807,427.11861505862043,,754.5759076887596,366.41438364315206,
